rank,trade_date,target_date,ts_code,name,close_T,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
12,20260227,20260303,000593.SZ,德龙汇能,15.74,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,14.497301979479637,15.218027662145245,15.74,16.27987578286973,17.08922117720092,12,0.341547938639752,0.0,0.0,,,,,,,,
13,20260227,20260303,600821.SH,金开新能,7.39,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,6.806547752754416,7.144931666026261,7.39,7.643474081029688,8.02346534304414,13,0.3016455605113328,0.0,0.0,,,,,,,,
14,20260227,20260303,000899.SZ,赣能股份,14.61,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,13.45651727574317,14.125500898598602,14.61,15.111117229207544,15.86235841162042,14,0.2564969026964153,0.0,0.0,,,,,,,,
15,20260227,20260303,600744.SH,华银电力,7.94,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,7.313124378466857,7.676692480141884,7.94,8.21233886378562,8.620610936910756,15,0.2491827624252817,0.0,0.0,,,,,,,,
16,20260227,20260303,002216.SZ,三全食品,12.76,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,11.7525777165286,12.336850887482422,12.76,13.197662959937595,13.853777777705446,16,0.219623826827313,0.0,0.0,,,,,,,,
17,20260227,20260303,002155.SZ,湖南黄金,37.7,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,34.723525071561774,36.44978671301625,37.7,38.99309510890654,40.93161616140246,17,0.2133513263929638,0.0,0.0,,,,,,,,
18,20260227,20260303,002177.SZ,御银股份,9.69,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,8.9249590966428,9.368658706873406,9.69,10.02236317255449,10.520619644668164,18,0.2077129414416533,0.0,0.0,,,,,,,,
19,20260227,20260303,002015.SZ,协鑫能科,14.16,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,13.042045491069356,13.69042386886764,14.16,14.645682406952693,15.373784743911372,19,0.2075476239660547,0.0,0.0,,,,,,,,
20,20260227,20260303,603257.SH,中国瑞林,66.43,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,61.18524590195886,64.22703796672863,66.43,68.70852276086634,72.12433054647123,20,0.2049649141697142,0.0,0.0,,,,,,,,
21,20260227,20260303,000628.SZ,高新发展,57.31,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,52.78528439923622,55.40947683084777,57.31,59.275710363167995,62.22257088090119,21,0.2038006356922742,0.0,0.0,,,,,,,,
22,20260227,20260303,600259.SH,中稀有色,102.08,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,94.0206217322288,98.69480709985937,102.08,105.58130367950076,110.83022222164357,22,0.1973646754054673,0.0,0.0,,,,,,,,
23,20260227,20260303,600397.SH,江钨装备,21.53,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,19.83017227561605,20.81601877801697,21.53,22.268470495882166,23.375535701724,23,0.186269485070751,0.0,0.0,,,,,,,,
24,20260227,20260303,000035.SZ,中国天楹,7.01,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,6.45654935680764,6.777533285364559,7.01,7.250440231125591,7.610892023645389,24,0.1858492766761865,0.0,0.0,,,,,,,,
25,20260227,20260303,002980.SZ,华盛昌,28.97,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,26.682772448889775,28.00929233623556,28.97,29.96365955716239,31.453287007846924,25,0.1834676261385753,0.0,0.0,,,,,,,,
26,20260227,20260303,603629.SH,利通电子,58.52,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,53.89975297580359,56.579350621902144,58.52,60.527212885231044,63.53629118740774,26,0.1820898313091608,0.0,0.0,,,,,,,,
27,20260227,20260303,001216.SZ,华瓷股份,20.66,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,19.028860158580006,19.97486985387044,20.66,21.368629839522782,22.430959944153177,27,0.1798195804570529,0.0,0.0,,,,,,,,
28,20260227,20260303,600126.SH,杭钢股份,9.94,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,9.155221199239364,9.610368167835052,9.94,10.280938073807185,10.79204946006208,28,0.1746998535987209,0.0,0.0,,,,,,,,
29,20260227,20260303,603381.SH,永臻股份,29.5,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,27.17092810639449,28.52171639347425,29.5,30.51183834781811,32.02871821648203,29,0.1507457168897012,0.0,0.0,,,,,,,,
30,20260227,20260303,300830.SZ,金现代,14.88,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,13.705200346547459,14.386547116437182,14.88,15.390378122560456,16.15550261224585,30,0.1443020071699911,0.0,0.0,,,,,,,,
