rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
18,20260605,20260605,20260608,20260609,002708.SZ,光洋股份,15.86,只观察不追,≤16.02,冲高至17.20附近优先兑现；强势放量再看17.79；弱于15.62止损,冲高至17.20附近优先兑现；强势放量再看17.79；弱于15.62止损,只观察不追,≤16.02,冲高至17.20附近优先兑现；强势放量再看17.79；弱于15.62止损,冲高至17.20附近优先兑现；强势放量再看17.79；弱于15.62止损,0.401488,0.401488,47.0446,47.0446,0.832848,0.832848,55.1919,55.1919,0.401488,47.0446,0.832848,55.1919,,,,,,,,rule_fallback:model_missing,0.0,0.08419054642638324,0.08419054642638324,up,high,1.0,ehx:model_v1,-0.0014090128507236455,0.047109180894789306,0.08083366840596043,0.11455815591713156,0.1630763496626454,15.837668792361335,16.625030100580158,17.19526206632244,17.785052763254203,18.669227233247586,0.947025597230136,0.947025597230136,18,13,13,0.0949382134607938,0.0,0.0,,,,,,,,
19,20260605,20260605,20260608,20260609,002892.SZ,科力尔,10.88,只观察不追,≤10.99,冲高至11.89附近优先兑现；强势放量再看12.30；弱于10.72止损,冲高至11.89附近优先兑现；强势放量再看12.30；弱于10.72止损,只观察不追,≤10.99,冲高至11.89附近优先兑现；强势放量再看12.30；弱于10.72止损,冲高至11.89附近优先兑现；强势放量再看12.30；弱于10.72止损,0.373146,0.373146,46.1944,46.1944,0.855007,0.855007,54.3996,54.3996,0.373146,46.1944,0.855007,54.3996,,,,,,,,rule_fallback:model_missing,0.0,0.09298006457011736,0.09298006457011736,up,high,1.0,ehx:model_v1,0.006665288585761486,0.05518348233127444,0.08890796984244556,0.12263245735361669,0.17115065109913052,10.952760555491151,11.497271240279455,11.891623102522876,12.299501077876517,12.91096425380722,0.9623111602809125,0.9623111602809125,19,7,7,0.0283650457674416,0.0,0.0,,,,,,,,
20,20260605,20260605,20260608,20260609,000068.SZ,华控赛格,3.56,只观察不追,≤3.60,冲高至3.81附近优先兑现；强势放量再看3.94；弱于3.51止损,冲高至3.81附近优先兑现；强势放量再看3.94；弱于3.51止损,只观察不追,≤3.60,冲高至3.81附近优先兑现；强势放量再看3.94；弱于3.51止损,冲高至3.81附近优先兑现；强势放量再看3.94；弱于3.51止损,0.418279,0.418279,47.5484,47.5484,0.761411,0.761411,54.2035,54.2035,0.418279,47.5484,0.761411,54.2035,,,,,,,,rule_fallback:model_missing,0.0,0.06928640371781541,0.06928640371781541,up,high,1.0,ehx:model_v1,-0.015251167681133548,0.0332670260643794,0.06699151357555053,0.10071600108672166,0.1492341948322355,3.506117770915264,3.6804225572490052,3.8066595972354227,3.937226517831105,4.1329636469803495,0.9098497341740336,0.9098497341740336,20,35,35,0.1927665850377941,0.0,0.0,,,,,,,,
21,20260605,20260605,20260608,20260609,600776.SH,东方通信,15.94,只观察不追,≤16.10,冲高至17.28附近优先兑现；强势放量再看17.87；弱于15.70止损,冲高至17.28附近优先兑现；强势放量再看17.87；弱于15.70止损,只观察不追,≤16.10,冲高至17.28附近优先兑现；强势放量再看17.87；弱于15.70止损,冲高至17.28附近优先兑现；强势放量再看17.87；弱于15.70止损,0.370134,0.370134,46.104,46.104,0.832848,0.832848,53.7026,53.7026,0.370134,46.104,0.832848,53.7026,,,,,,,,rule_fallback:model_missing,0.0,0.08419054642638324,0.08419054642638324,up,high,1.0,ehx:model_v1,-0.0014090128507236455,0.047109180894789306,0.08083366840596043,0.11455815591713156,0.1630763496626454,15.91755615070868,16.708889016598217,17.281997310036548,17.874762991568222,18.763397358005456,0.947025597230136,0.947025597230136,21,14,14,0.0799697389117911,0.0,0.0,,,,,,,,
22,20260605,20260605,20260608,20260609,002877.SZ,智能自控,8.64,只观察不追,≤8.73,冲高至9.36附近优先兑现；强势放量再看9.68；弱于8.51止损,冲高至9.36附近优先兑现；强势放量再看9.68；弱于8.51止损,只观察不追,≤8.73,冲高至9.36附近优先兑现；强势放量再看9.68；弱于8.51止损,冲高至9.36附近优先兑现；强势放量再看9.68；弱于8.51止损,0.371443,0.371443,46.1433,46.1433,0.820552,0.820552,53.4573,53.4573,0.371443,46.1433,0.820552,53.4573,,,,,,,,rule_fallback:model_missing,0.0,0.08375493732615306,0.08375493732615306,up,high,1.0,ehx:model_v1,-0.001810876374836387,0.046707317370676564,0.08043180488184769,0.1141562923930188,0.16267448613853264,8.624368186034467,9.053124078492075,9.363642658497962,9.684811903146564,10.166287192842775,0.9461520318776484,0.9461520318776484,22,18,18,0.0832339583614669,0.0,0.0,,,,,,,,
23,20260605,20260605,20260608,20260609,600973.SH,宝胜股份,7.62,只观察不追,≤7.70,冲高至8.23附近优先兑现；强势放量再看8.51；弱于7.51止损,冲高至8.23附近优先兑现；强势放量再看8.51；弱于7.51止损,只观察不追,≤7.70,冲高至8.23附近优先兑现；强势放量再看8.51；弱于7.51止损,冲高至8.23附近优先兑现；强势放量再看8.51；弱于7.51止损,0.376575,0.376575,46.2973,46.2973,0.806749,0.806749,53.3561,53.3561,0.376575,46.2973,0.806749,53.3561,,,,,,,,rule_fallback:model_missing,0.0,0.07986887152318857,0.07986887152318857,up,high,1.0,ehx:model_v1,-0.00540306274829154,0.04311513099722141,0.07683961850839253,0.11056410601956365,0.15908229976507748,7.578939687470275,7.955722656319596,8.228600801006698,8.510838558272642,8.933950385469892,0.9378279187775146,0.9378279187775146,23,21,21,0.1091733069301978,0.0,0.0,,,,,,,,
24,20260605,20260605,20260608,20260609,603790.SH,XD雅运股,27.21,只观察不追,≤27.48,冲高至28.35附近优先兑现；强势放量再看29.32；弱于26.80止损,冲高至28.35附近优先兑现；强势放量再看29.32；弱于26.80止损,只观察不追,≤27.48,冲高至28.35附近优先兑现；强势放量再看29.32；弱于26.80止损,冲高至28.35附近优先兑现；强势放量再看29.32；弱于26.80止损,0.437289,0.437289,48.1187,48.1187,0.639202,0.639202,52.0513,52.0513,0.437289,48.1187,0.639202,52.0513,,,,,,,,rule_fallback:model_missing,0.0,0.04173527479915805,0.04173527479915805,up,high,1.0,ehx:model_v1,-0.04135482509816253,0.00716336864735042,0.04088785615852154,0.07461234366969266,0.12313053741520649,26.107685320188786,27.405615055793792,28.345616827285088,29.31786028824798,30.775382170626624,0.7932520572578123,0.7932520572578123,24,61,61,0.3678780032853387,0.0,0.0,,,,,,,,
25,20260605,20260605,20260608,20260609,603135.SH,中重科技,14.03,放弃,不建议买入,冲高至15.21附近优先兑现；强势放量再看15.73；弱于13.82止损,冲高至15.21附近优先兑现；强势放量再看15.73；弱于13.82止损,放弃,不建议买入,冲高至15.21附近优先兑现；强势放量再看15.73；弱于13.82止损,冲高至15.21附近优先兑现；强势放量再看15.73；弱于13.82止损,0.33667,0.33667,45.1001,45.1001,0.82557,0.82557,51.9311,51.9311,0.33667,45.1001,0.82557,51.9311,,,,,,,,rule_fallback:model_missing,0.0,0.084023848488904,0.084023848488904,up,high,1.0,ehx:model_v1,-0.0015627780302175376,0.046955415715295414,0.08067990322646654,0.11440439073763767,0.1629225844831515,14.008091347875068,14.704496183328583,15.208854594299321,15.730512299550226,16.512546379534275,0.9466926815272599,0.9466926815272599,25,16,16,0.0644070724070943,0.0,0.0,,,,,,,,
26,20260605,20260605,20260608,20260609,002471.SZ,中超控股,7.95,放弃,不建议买入,冲高至8.58附近优先兑现；强势放量再看8.88；弱于7.83止损,冲高至8.58附近优先兑现；强势放量再看8.88；弱于7.83止损,放弃,不建议买入,冲高至8.58附近优先兑现；强势放量再看8.88；弱于7.83止损,冲高至8.58附近优先兑现；强势放量再看8.88；弱于7.83止损,0.340185,0.340185,45.2055,45.2055,0.806749,0.806749,51.6275,51.6275,0.340185,45.2055,0.806749,51.6275,,,,,,,,rule_fallback:model_missing,0.0,0.07986887152318857,0.07986887152318857,up,high,1.0,ehx:model_v1,-0.00540306274829154,0.04311513099722141,0.07683961850839253,0.11056410601956365,0.15908229976507748,7.907161484959144,8.30026182647517,8.58495752860935,8.879418180875,9.320853748620163,0.9378279187775146,0.9378279187775146,26,23,23,0.0912659760566152,0.0,0.0,,,,,,,,
27,20260605,20260605,20260608,20260609,300162.SZ,雷曼光电,10.52,放弃,不建议买入,冲高至11.47附近优先兑现；强势放量再看11.86；弱于10.36止损,冲高至11.47附近优先兑现；强势放量再看11.86；弱于10.36止损,放弃,不建议买入,冲高至11.47附近优先兑现；强势放量再看11.86；弱于10.36止损,冲高至11.47附近优先兑现；强势放量再看11.86；弱于10.36止损,0.301986,0.301986,44.0596,44.0596,0.849038,0.849038,50.8703,50.8703,0.301986,44.0596,0.849038,50.8703,,,,,,,,rule_fallback:model_missing,0.0,0.09003544396356189,0.09003544396356189,up,high,1.0,ehx:model_v1,0.003967531853452347,0.0524857255989653,0.08621021311013642,0.11993470062130754,0.16845289436682137,10.561821343995335,11.086896693127052,11.467172870496672,11.860492370545076,12.450130461316109,0.9576645125122341,0.9576645125122341,27,9,9,0.0100570539208182,0.0,0.0,,,,,,,,
28,20260605,20260605,20260608,20260609,002254.SZ,泰和新材,15.53,放弃,不建议买入,冲高至16.84附近优先兑现；强势放量再看17.41；弱于15.30止损,冲高至16.84附近优先兑现；强势放量再看17.41；弱于15.30止损,放弃,不建议买入,冲高至16.84附近优先兑现；强势放量再看17.41；弱于15.30止损,冲高至16.84附近优先兑现；强势放量再看17.41；弱于15.30止损,0.295942,0.295942,43.8783,43.8783,0.832848,0.832848,50.1785,50.1785,0.295942,43.8783,0.832848,50.1785,,,,,,,,rule_fallback:model_missing,0.0,0.08419054642638324,0.08419054642638324,up,high,1.0,ehx:model_v1,-0.0014090128507236455,0.047109180894789306,0.08083366840596043,0.11455815591713156,0.1630763496626454,15.508133439178533,16.279112072005667,16.83747918600173,17.414998071458875,18.280775468621375,0.947025597230136,0.947025597230136,28,15,15,0.0420821977649921,0.0,0.0,,,,,,,,
